Date : 2025-10-11 01:14:05
Directory : /home/kun/projects/Knot
Total : 210 files,  57810 codes, 8250 comments, 11723 blanks, all 77783 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        108 |     39,498 |      8,044 |      7,518 |     55,060 |
| Markdown     |         34 |     13,316 |          0 |      3,661 |     16,977 |
| YAML         |         30 |      3,050 |         17 |        191 |      3,258 |
| CMake        |          9 |        596 |          0 |        124 |        720 |
| JSON         |         14 |        459 |          0 |          8 |        467 |
| Shell Script |          5 |        449 |         92 |        111 |        652 |
| MS SQL       |          4 |        304 |         95 |         92 |        491 |
| HTML         |          1 |         55 |          0 |          4 |         59 |
| XML          |          3 |         53 |          0 |          1 |         54 |
| PostCSS      |          1 |         21 |          0 |          6 |         27 |
| Python       |          1 |          9 |          2 |          7 |         18 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        210 |     57,810 |      8,250 |     11,723 |     77,783 |
| . (Files)                                                                                                                  |          2 |      1,383 |          0 |        334 |      1,717 |
| .augment                                                                                                                   |          1 |         87 |          0 |         28 |        115 |
| .augment/rules                                                                                                             |          1 |         87 |          0 |         28 |        115 |
| .claude                                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| backend-service                                                                                                            |        198 |     56,167 |      8,250 |     11,330 |     75,747 |
| backend-service (Files)                                                                                                    |          3 |        697 |         14 |        146 |        857 |
| backend-service/.augment                                                                                                   |          1 |         85 |          0 |         27 |        112 |
| backend-service/.augment/rules                                                                                             |          1 |         85 |          0 |         27 |        112 |
| backend-service/config                                                                                                     |          6 |        416 |         95 |         96 |        607 |
